Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-4_DIA.raw
A0A024R4E5	A0A024R4E5	A0A024R4E5_HUMAN	HDLBP	High density lipoprotein binding protein (Vigilin), isoform CRA_a			39901.9	18388.2				36562.7						6911.54				20086.4										65005.8			41339.9		16999.4			27796.9																	
A0A075B6K4	A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10															2.17595e+06	796296																									3.17332e+06											1.03175e+06	
A0A075B759	A0A075B759	PAL4E_HUMAN	PPIAL4E	Peptidyl-prolyl cis-trans isomerase A-like 4E	1.04729e+08	1.06153e+08	1.01934e+08	1.06123e+08	7.72815e+07	9.68109e+07	1.05561e+08	1.03795e+08	1.03281e+08	1.1091e+08	1.06319e+08	1.09551e+08	1.0109e+08	4.99571e+07	8.36123e+07	7.78642e+07	8.59582e+07	1.10892e+08	1.05228e+08	1.07229e+08	1.04566e+08	1.0183e+08	9.64403e+07	9.27112e+07	1.02877e+08	1.04751e+08	1.07547e+08	1.08336e+08	1.01775e+08	9.47895e+07	9.44326e+07	6.2305e+07	7.51233e+07	7.92624e+07	8.07808e+07	1.06e+08	9.9697e+07	9.02356e+07	8.85483e+07	9.48721e+07	9.6532e+07	1.05704e+08	1.02429e+08	9.66646e+07	1.01593e+08	9.41659e+07	9.91363e+07	9.77531e+07	9.22617e+07	5.26944e+07	7.21482e+07	6.78238e+07	7.89016e+07
A0A075B7D0	A0A075B7D0	A0A075B7D0_HUMAN	IGHV1OR15-1	Immunoglobulin heavy variable 1/OR15-1 (non-functional) (Fragment)	57497.4	13257.5	61257.8	117383		112624	138627	106628	69837.9	40010	68471.4	78580.5	196630		125492	30645.3	192782	78632.3						9121.6					36227.7	34336.3	19020		18024.6		35746.4																		
A0A087WU05	A0A087WU05	A0A087WU05_HUMAN	CMIP	C-Maf-inducing protein	67504.1	328889	191175	264158	348617	167984	277513	200879	285051	247984	188858	218903	216173	175064	85728.4	171222	272317	357753	215795	268447	318602	303419	297883	238516	287156	203763	252695	342699	344179	279556		68686.9	172722	135399	175924	357417	261594	367427	433633	435301	344048	174782	405676	315154	463650	441822	356675	253271	347541	134739	187456	168191	272282
A0A087WVP4	A0A087WVP4	A0A087WVP4_HUMAN	SMTN	Smoothelin					60081						48406.2	77871	30782.2		75514.3	53285			255348		210185	25465.6	19098	34194.9		339893	378877	103932	61255.7	58848.8	211482	103094	75997.2	83280.2	52234.3	47035													110305	51978.8	80530.6	54920.4	36678.6
A0A087WWI0	A0A087WWI0	A0A087WWI0_HUMAN	LRMDA	Leucine-rich melanocyte differentiation-associated protein	113751			112596	47632.2		156292	49622		115906	130135		190136	106116				113461	274169	214385	220081	183990		269617	196701	232122		277400	206891	210571	251221	209691	124211	96315.5	113896	154643					171368	222699				82806.4	127997	158663		174899	58885.2	93173.9	91028.1
A0A087WWU8	A0A087WWU8	A0A087WWU8_HUMAN	TPM3	Tropomyosin alpha-3 chain	1.77958e+08	1.77428e+08	1.71631e+08	1.78019e+08	1.86504e+08	1.80198e+08	1.836e+08	1.85228e+08	2.03763e+08	1.89155e+08	1.71873e+08	2.00042e+08	1.81536e+08	1.49117e+08	1.81951e+08	1.67882e+08	1.81178e+08	1.88358e+08	1.7034e+08	1.73226e+08	1.77087e+08	1.70885e+08	1.76228e+08	1.81657e+08	1.80568e+08	1.77812e+08	1.86381e+08	1.74482e+08	1.76864e+08	1.70593e+08	1.74529e+08	1.4499e+08	1.46274e+08	1.56129e+08	1.55732e+08	1.81058e+08	1.77106e+08	1.66738e+08	1.7621e+08	1.79643e+08	1.85797e+08	1.84759e+08	1.93855e+08	1.67023e+08	1.8352e+08	1.90764e+08	1.91679e+08	1.80173e+08	1.70482e+08	1.42579e+08	1.51616e+08	1.46997e+08	1.55548e+08
A0A087X091	A0A087X091	A0A087X091_HUMAN	WDR13	WD repeat-containing protein 13 (Fragment)	14668.8	101580	214548	146978	160688	258016	500448	311510	208580	147260	201476	258085	337188	270300	362342	407434	550837	105003	342300	236510	125912	164321	339766	455104	454150	467591	245266	330592	431479	474030	458935	124074	282685	283030	608956		159239				401232	60209.1		149339	98118.2	193599	327265	170674	320172	70197.2		557778	590684
A0A087X1S3	A0A087X1S3	A0A087X1S3_HUMAN	HUWE1	E3 ubiquitin-protein ligase HUWE1 (Fragment)														90974.1	107286	181742																278507	141918	182551	106928															128678	96418.2	97577.3	
A0A087X2D8	A0A087X2D8	A0A087X2D8_HUMAN	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	197433	210030	172661	277969	151478	220428	210937	107105	140168	128192	262070	203412	227134	280695	125788	232559	129898		168193	285791	264312	254510	234762	201220	172960	214231	221018	209750	154542	306356	248844	282311	240530	255072	135044	141871	189940	207129	23355.1	280648	76455.3	553189	268021	195824	239930	337264	289689	310137	312840	283718	193386	232006	
A0A0A0MRB5	A0A0A0MRB5	A0A0A0MRB5_HUMAN	MADD	MAP kinase-activating death domain protein	181614	180872	231201	154534	260312	323112	230977	163195	162013	209811	228750	194245	138340	99942.4	148026	158695			275613	298946	270196	295631	259112	291219	334001	259464	309592	284027	288891	257123	277352	239144	291796	220211	220004	268512	261821	229451	195831			260028	179838	198848	176895	172047		256808	215603	271981	197671	209932	199628
