Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-4_DIA.raw
A0A075B6H7;A0A0C4DH55;P01624	A0A075B6H7;A0A0C4DH55;P01624;A0A0C4DH90	KV315_HUMAN;KV37_HUMAN;KVD07_HUMAN	IGKV3-15;IGKV3-7;IGKV3D-7	Probable non-functional immunoglobulin kappa variable 3-7	1.62679e+06	1.5197e+06	1.17359e+06	1.48911e+06	1.2103e+06	1.47956e+06	1.64661e+06	1.60938e+06	1.55141e+06	1.49231e+06	1.45191e+06	1.51983e+06	1.43118e+06	1.20067e+06	1.43232e+06	1.20593e+06	964866	1.51953e+06	1.65977e+06	1.45372e+06	1.56002e+06	1.41708e+06	1.50662e+06	1.58688e+06	1.58677e+06	1.59637e+06	1.67727e+06	1.51284e+06	1.5306e+06	1.33904e+06	1.12211e+06	1.10184e+06	1.16031e+06	1.19917e+06	4.53663e+06	4.64578e+06	3.4145e+06	4.63799e+06	4.17522e+06	4.15126e+06	4.3326e+06	4.40238e+06	4.66514e+06	4.53785e+06	4.40405e+06	4.33924e+06	4.10327e+06	2.97049e+06	3.10023e+06	3.47543e+06	3.24512e+06
A0A075B6P5;P01615	A0A075B6P5;P01615;A0A5H1ZRS2	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28		75956.8		29643	11313.3	64622		13660.3	23876.9		53752.6					67956.9	63522.9	9339.32		93015.3	98555	34660.8		124059		61122.9					86739.5	208946	92703.1	120425		86674.8	81087.1	33788.5	28463.5			43402.4	42705	47694.5	55429.1		55411	10055	52862.4	79191.8	33747.1
A0A075B7B8;A0A0J9YY99	A0A0B4J1X5;A0A0C4DH42;P01764;P01767;P01768;P01772;P0DP02;P0DP03;A0A075B7B8;A0A075B7E8;A0A0J9YY99	A0A075B7B8_HUMAN;A0A0J9YY99_HUMAN	IGHV3OR16-12	Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment)	308046	380164	480226	449101	467570	413417	376702	528537	389895	453486	499292	394703	319704	520676	445540	109356	467478	642355	715853	588725	209713	623302	595432	557173	631504	540299	489707	412629	619168	474036	675605	552210	640993	475139	856007	575276	488622	724401	596604	618935	736399	615635	529299	350675	717996	665749	823652	750738	368362	549372	380533
A0A087WWI0	Q9H2I8;A0A087WWI0;A0A087WZZ7	A0A087WWI0_HUMAN	LRMDA	Leucine-rich melanocyte differentiation-associated protein	380102	374584	338599	397595	425290	420737	518064	441581	359797	412528	401280	303143	527242	296467	296440	324624	190054	610074	477625	628234	478976	544105	676220	419616	598892	564637	498913	491921	586959	581933	581391	449774	470847	155108	557371	321494	497306	342400	583275	433758	443524	489516	521067	358038	583744	391013	476917	540306	281508	447723	433327
A0A087WWU8	A0A087WWU8;J3KN67	A0A087WWU8_HUMAN	TPM3	Tropomyosin alpha-3 chain	8.72497e+07	8.89529e+07	8.51478e+07	8.7904e+07	9.00891e+07	8.8481e+07	8.934e+07	9.28467e+07	1.02865e+08	9.47519e+07	8.41337e+07	9.78587e+07	8.82499e+07	7.25214e+07	8.35896e+07	7.72098e+07	8.54203e+07	8.40472e+07	8.40554e+07	8.74174e+07	8.37121e+07	8.39558e+07	8.80292e+07	8.68465e+07	8.59121e+07	9.27101e+07	8.54444e+07	8.49235e+07	8.37107e+07	9.07235e+07	6.87849e+07	6.84801e+07	7.39463e+07	7.73371e+07	8.5202e+07	8.79053e+07	8.75882e+07	8.94903e+07	8.99556e+07	9.01364e+07	9.41946e+07	8.46885e+07	9.03971e+07	9.88162e+07	8.92702e+07	8.92762e+07	8.23293e+07	6.71753e+07	6.94507e+07	6.93491e+07	7.67928e+07
A0A087WYS0;C9J406	A0A087WYS0;C9J406	A0A087WYS0_HUMAN;C9J406_HUMAN	IMMT	MICOS complex subunit MIC60		202971		105908	44202.4	62477.3	74540.1	64219.6	86135.3		87170.3	112464	72770.2	72125.6	113012	236056			104800		76991.4	98106.4		191159	69015.2		58125.7	126901	176573	191757	207166	122401	98034.5				91689	33013	76737.5		82808.1	125590		117828	170187	63794.8	105406	146363	78440.4	181086	16122.1
A0A087X1S3	A0A087X1S3	A0A087X1S3_HUMAN	HUWE1	E3 ubiquitin-protein ligase HUWE1 (Fragment)															96789	158711															271192	98836.2	196384	108763														128861	82360.8	111968	
A0A0A0MRB5	Q8WXG6;A0A0A0MRB5;F8W8U2	A0A0A0MRB5_HUMAN	MADD	MAP kinase-activating death domain protein	207927	179801	225352	243244	209391	213769	261192	253323	242756	257927	287943	274937	312684	304013	334666	323893	184806	295424	367563	354000	314252	382130	390420	410009	329908	390307	304244	335130	353056	334140	373128	343285	414845	387983	340389	336532	215032	316049	291491	309663	367009	405534	342391	313391	287171	302430	328175	436150	412530	284647	371822
A0A0A0MS51	A0A0A0MS51	A0A0A0MS51_HUMAN	GSN	Actin-depolymerizing factor	2.99338e+06	2.55279e+06	3.09661e+06	3.36877e+06	3.31076e+06	3.72471e+06	3.54653e+06	2.95427e+06	2.95804e+06	2.83703e+06	3.34029e+06	2.77071e+06	2.98113e+06	2.37612e+06	2.68774e+06	1.96333e+06	3.19545e+06	3.06121e+06	3.66288e+06	3.1557e+06	3.38042e+06	3.89773e+06	4.02473e+06	2.81815e+06	4.0387e+06	3.54441e+06	3.58783e+06	3.95757e+06	3.85801e+06	3.63998e+06	2.68695e+06	3.07519e+06	2.73824e+06	3.1852e+06	3.43169e+06	2.51001e+06	2.58613e+06	2.40203e+06	1.65731e+06	2.1729e+06	2.38213e+06	2.79278e+06	2.60383e+06	2.10787e+06	2.28348e+06	2.51136e+06	1.41849e+06	2.23868e+06	1.44464e+06	1.8658e+06	2.21341e+06
A0A0B4J1Y9	A0A0B4J1V0;A0A0B4J1V6;A0A0B4J1Y9;A0A4W8ZXM2	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72	328055	372221	503953	460508	115312	490663	535137	436938	335969	435048	553429	563298	473064	306581	459133	323986		396240	401642	293785	364394	400109	366423	402774	370263	304843	339888	240272	398102	43001.2	311004	297689	271007	85385.4	457338	97381.7	226340	231121	204787	463441	535211	202812	268018	180364	35792	560340	163896	519727	456258	437472	
